City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,Straja,RO,2022-02-05 19:05:42,47.9167,25.55,36.18,89,100,5.08
100,Saint-Georges,GD,2022-02-05 19:05:42,12.0564,-61.7485,83.88,65,20,20.71
101,Severo-Kurilsk,RU,2022-02-05 19:01:05,50.6789,156.125,28.36,94,100,5.46
102,Hermanus,ZA,2022-02-05 19:01:10,-34.4187,19.2345,69.8,77,65,16.84
103,Ribeira Grande,PT,2022-02-05 19:02:15,38.5167,-28.7,61.2,77,75,13.8
104,Dikson,RU,2022-02-05 19:05:42,73.5069,80.5464,-18.2,100,99,3.47
105,Pevek,RU,2022-02-05 19:05:43,69.7008,170.3133,-28.68,99,37,3.47
106,Taltal,CL,2022-02-05 19:05:43,-25.4,-70.4833,71.53,65,24,5.17
107,Dachau,DE,2022-02-05 19:02:34,48.26,11.434,36.16,72,99,9.78
108,Avarua,CK,2022-02-05 19:02:17,-21.2078,-159.775,78.85,83,40,11.5
109,Bukid,PH,2022-02-05 19:05:43,5.5717,125.4056,79.48,81,30,19.66
110,Dingle,PH,2022-02-05 19:01:56,10.9995,122.6711,74.71,83,88,11.16
111,Saint George,US,2022-02-05 19:05:44,37.1041,-113.5841,56.35,26,0,3.0
112,Barbastro,ES,2022-02-05 19:05:44,42.0356,0.1269,49.08,65,34,2.35
113,Georgetown,MY,2022-02-05 18:57:39,5.4112,100.3354,80.89,85,20,1.99
114,Richards Bay,ZA,2022-02-05 19:05:44,-28.783,32.0377,72.93,84,100,10.27
115,Saskylakh,RU,2022-02-05 19:02:20,71.9167,114.0833,-25.74,100,98,3.2
116,Tiksi,RU,2022-02-05 19:03:51,71.6872,128.8694,-22.4,98,85,7.81
117,Maua,BR,2022-02-05 19:02:49,-23.6678,-46.4614,84.36,65,100,11.07
118,Bendigo,AU,2022-02-05 19:05:45,-36.7667,144.2833,59.86,59,20,6.82
119,Thompson,CA,2022-02-05 19:05:45,55.7435,-97.8558,-9.67,87,99,3.85
120,Tutayev,RU,2022-02-05 19:05:45,57.8853,39.5406,8.08,100,94,2.8
121,Burley,US,2022-02-05 19:05:45,42.5357,-113.7928,32.31,64,0,8.05
122,Victoria,HK,2022-02-05 19:02:59,22.2855,114.1577,61.25,82,100,5.99
123,Surany,SK,2022-02-05 19:05:46,48.0861,18.1845,39.0,63,14,7.65
124,Vila Velha,BR,2022-02-05 19:05:46,-20.3297,-40.2925,82.35,83,40,8.99
125,Valparaiso,CL,2022-02-05 19:05:46,-33.0393,-71.6273,82.63,60,0,6.91
126,Luanda,AO,2022-02-05 19:05:46,-8.8368,13.2343,78.8,73,20,8.05
127,Shelburne,CA,2022-02-05 19:05:47,44.0787,-80.2041,17.13,62,36,4.79
128,Half Moon Bay,US,2022-02-05 19:05:47,37.4636,-122.4286,62.46,64,0,4.61
129,Port Alfred,ZA,2022-02-05 19:05:47,-33.5906,26.891,70.34,84,99,25.26
130,Murashi,RU,2022-02-05 19:05:47,59.3999,48.9615,14.0,96,96,7.14
131,Chlorakas,CY,2022-02-05 19:05:47,34.8042,32.4083,52.83,79,20,3.44
132,Peleduy,RU,2022-02-05 19:06:48,59.6289,112.7406,6.69,97,100,4.63
133,Provideniya,RU,2022-02-05 19:02:12,64.3833,-173.3,-6.12,86,2,10.87
134,Ilulissat,GL,2022-02-05 19:06:48,69.2167,-51.1,5.02,51,75,13.8
135,Bolshaya Rechka,RU,2022-02-05 19:06:48,51.9503,104.7355,7.07,90,100,1.03
136,Yellowknife,CA,2022-02-05 18:59:30,62.456,-114.3525,-10.59,86,75,6.91
137,San Clemente,US,2022-02-05 19:06:49,33.427,-117.612,72.61,23,1,4.0
138,Narsaq,GL,2022-02-05 19:02:45,60.9167,-46.05,3.42,75,0,5.77
139,Kruisfontein,ZA,2022-02-05 19:02:14,-34.0033,24.7314,66.88,83,45,19.66
140,Yulara,AU,2022-02-05 19:01:03,-25.2406,130.9889,68.81,39,0,6.42
141,Santa Cruz,BO,2022-02-05 19:06:49,-17.8,-63.1667,71.65,94,100,13.8
142,Three Hills,CA,2022-02-05 19:06:49,51.7001,-113.2686,41.86,62,89,20.78
143,College,US,2022-02-05 19:01:08,64.8569,-147.8028,3.58,81,95,3.53
144,Bull Savanna,JM,2022-02-05 19:06:49,17.8868,-77.5902,81.99,45,75,4.94
145,Saint-Augustin,CA,2022-02-05 19:06:50,51.226,-58.6502,5.31,94,100,16.31
146,Guerrero Negro,MX,2022-02-05 19:02:00,27.9769,-114.0611,66.36,24,0,1.45
147,Laguna,US,2022-02-05 19:02:49,38.421,-121.4238,64.24,59,0,1.01
148,Praia Da Vitoria,PT,2022-02-05 19:06:50,38.7333,-27.0667,60.76,81,52,15.59
149,Gotsu,JP,2022-02-05 19:06:50,35.0,132.2167,35.74,57,100,25.26
150,Zhongshu,CN,2022-02-05 19:06:50,24.5167,103.7667,45.84,96,100,4.16
151,Beringovskiy,RU,2022-02-05 19:05:02,63.05,179.3167,-9.99,92,18,14.5
152,Batemans Bay,AU,2022-02-05 19:06:51,-35.7167,150.1833,63.1,82,99,7.25
153,Andros,GR,2022-02-05 19:06:51,37.8333,24.9333,52.36,68,32,2.55
154,Labuan,MY,2022-02-05 19:06:51,5.2767,115.2417,78.96,82,54,10.71
155,Fukue,JP,2022-02-05 19:06:51,32.6881,128.8419,42.17,60,100,27.76
156,Ambilobe,MG,2022-02-05 19:06:52,-13.2,49.05,73.87,94,100,4.54
157,Hilo,US,2022-02-05 19:06:52,19.7297,-155.09,76.12,76,0,0.0
158,Carnarvon,AU,2022-02-05 19:06:52,-24.8667,113.6333,78.87,89,75,10.36
159,Rio Grande,BR,2022-02-05 19:06:52,-32.035,-52.0986,84.31,76,100,12.06
160,Diffa,NE,2022-02-05 19:06:53,13.3154,12.6113,66.78,19,0,7.94
161,San Luis,AR,2022-02-05 19:06:53,-33.295,-66.3356,66.4,52,65,14.41
162,Santa Rosa,PH,2022-02-05 19:06:53,14.3122,121.1114,78.12,72,93,14.56
163,Sayyan,YE,2022-02-05 19:06:53,15.1718,44.3244,57.87,65,93,1.66
164,Iqaluit,CA,2022-02-05 19:06:54,63.7506,-68.5145,-30.03,97,98,2.57
165,Wakkanai,JP,2022-02-05 19:06:54,45.4094,141.6739,24.19,72,100,24.14
166,Sitka,US,2022-02-05 18:56:21,57.0531,-135.33,39.99,97,100,6.24
167,Tigil,RU,2022-02-05 19:06:54,57.8,158.6667,7.56,82,91,7.83
168,Ornskoldsvik,SE,2022-02-05 19:06:55,63.2909,18.7153,12.02,100,79,3.44
169,Pasni,PK,2022-02-05 19:06:55,25.2631,63.471,71.87,79,0,10.07
170,Auki,SB,2022-02-05 19:06:55,-8.7676,160.7034,79.2,86,57,5.64
171,Dhidhdhoo,MV,2022-02-05 19:03:24,6.8833,73.1,80.31,71,44,10.58
172,Avera,US,2022-02-05 19:06:55,33.194,-82.5271,52.68,41,6,7.78
173,Cayenne,GF,2022-02-05 19:06:56,4.9333,-52.3333,84.24,82,75,7.0
174,Urumqi,CN,2022-02-05 19:04:02,43.801,87.6005,-1.25,85,93,2.24
175,Daru,PG,2022-02-05 19:06:56,-9.0763,143.2092,77.58,91,100,8.93
176,Kahului,US,2022-02-05 19:01:06,20.8947,-156.47,76.84,80,4,8.01
