City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,Troutdale,US,2022-02-05 01:33:00,45.5393,-122.3873,49.6,86,100,1.01,overcast clouds
142,Atuona,PF,2022-02-05 01:33:00,-9.8,-139.0333,78.37,77,25,15.9,scattered clouds
143,Esso,RU,2022-02-05 01:33:01,55.9333,158.7,14.83,89,100,4.63,overcast clouds
144,Izhma,RU,2022-02-05 01:33:01,65.0083,53.9113,-11.54,100,96,1.99,overcast clouds
145,Cabo San Lucas,MX,2022-02-05 01:29:03,22.8909,-109.9124,69.51,64,0,4.61,clear sky
146,Langenburg,DE,2022-02-05 01:33:01,49.2544,9.8458,37.92,80,20,14.97,few clouds
147,Angoche,MZ,2022-02-05 01:33:02,-16.2325,39.9086,73.62,93,100,6.13,overcast clouds
148,Cherskiy,RU,2022-02-05 01:33:02,68.75,161.3,-29.61,96,10,4.25,clear sky
149,Sitka,US,2022-02-05 01:33:02,57.0531,-135.33,42.69,87,100,8.05,moderate rain
150,Qaanaaq,GL,2022-02-05 01:33:03,77.484,-69.3632,1.17,70,100,6.51,overcast clouds
151,Raymond,US,2022-02-05 01:33:03,43.9015,-70.4703,20.35,88,100,5.66,snow
152,Zilair,RU,2022-02-05 01:33:04,52.2332,57.4392,18.1,96,100,11.25,overcast clouds
153,Biak,ID,2022-02-05 01:33:04,-0.9131,122.8766,83.41,67,96,2.19,overcast clouds
154,Oistins,BB,2022-02-05 01:33:04,13.0667,-59.5333,77.09,69,40,11.5,scattered clouds
155,Clyde River,CA,2022-02-05 01:33:05,70.4692,-68.5914,-10.97,77,40,16.11,light snow
156,Popova,RU,2022-02-05 01:33:05,42.9603,131.7228,8.69,56,7,15.68,clear sky
157,San Cristobal,VE,2022-02-05 01:33:05,7.7669,-72.225,71.78,90,57,1.86,broken clouds
158,Mayo,US,2022-02-05 01:33:06,38.8876,-76.5119,38.41,85,100,8.99,light intensity drizzle
159,Puerto Escondido,MX,2022-02-05 01:33:06,15.85,-97.0667,79.63,73,0,0.0,clear sky
160,Miracatu,BR,2022-02-05 01:33:06,-24.2814,-47.4597,74.16,97,100,3.13,heavy intensity rain
161,Tumen,CN,2022-02-05 01:33:06,42.9661,129.8425,12.67,54,42,14.63,scattered clouds
162,Itarema,BR,2022-02-05 01:33:07,-2.9248,-39.9167,79.05,80,65,10.27,broken clouds
163,Lanzhou,CN,2022-02-05 01:33:07,36.0564,103.7922,18.68,89,100,6.51,light snow
164,Tautira,PF,2022-02-05 01:33:08,-17.7333,-149.15,86.02,75,26,14.0,light rain
165,La Ronge,CA,2022-02-05 01:33:08,55.1001,-105.2842,-9.15,77,100,6.91,overcast clouds
