City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
66,Saint-Philippe,RE,81.99,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
67,Mar Del Plata,AR,69.1,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
68,Rikitea,PF,79.05,clear sky,-23.1203,-134.9692,People ThankYou
69,Plettenberg Bay,ZA,62.06,clear sky,-34.0527,23.3716,Thanda Vista B&B
70,Busselton,AU,85.95,few clouds,-33.65,115.3333,Observatory Guest House
73,Le Port,RE,82.4,light rain,-20.9373,55.2919,KORBEY D'OR OUEST
76,Hermanus,ZA,63.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
77,Lompoc,US,65.37,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
79,Luau,AO,60.33,overcast clouds,-10.7073,22.2247,Casa- Bernardo Cândido
80,Kavaratti,IN,77.61,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
82,Gat,IL,56.08,broken clouds,31.61,34.7642,OlusHome
88,Fandriana,MG,62.73,light rain,-20.2333,47.3833,Fandriana
89,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
93,Fayaoue,NC,82.0,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
94,Muros,ES,52.23,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
97,Arriaga,MX,70.23,scattered clouds,16.2333,-93.9,HOTEL IO
98,Sao Jose Da Coroa Grande,BR,78.55,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
101,Esperance,AU,82.24,clear sky,-33.8667,121.9,Hospitality Esperance
102,Nabire,ID,85.78,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
103,Riyadh,SA,68.14,few clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
104,Taltal,CL,68.65,clear sky,-25.4,-70.4833,Residencial Karime
108,Port-Gentil,GA,79.43,broken clouds,-0.7193,8.7815,Fengshui Residence
112,Vila Velha,BR,73.35,mist,-20.3297,-40.2925,Quality Suites Vila Velha
113,Fortuna,US,51.48,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
114,Guerrero Negro,MX,61.3,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
116,Mbuji-Mayi,CD,66.83,overcast clouds,-6.15,23.6,GKT Hotel
117,Arona,ES,60.75,clear sky,28.0996,-16.681,Paradise Court
120,Kuala Terengganu,MY,82.35,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
122,New Norfolk,AU,66.76,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
124,Nuevo Progreso,MX,50.59,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
125,Sehithwa,BW,71.1,overcast clouds,-20.4667,22.7167,MONLEK GUEST HOUSE
126,Bambous Virieux,MU,79.21,moderate rain,-20.3428,57.7575,Casa Tia Villa
127,Kaeo,NZ,77.32,scattered clouds,-35.1,173.7833,Bushido Lodge
129,Vila Franca Do Campo,PT,59.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
130,Coquimbo,CL,64.13,clear sky,-29.9533,-71.3436,Hostel Del Puerto
132,Dingle,PH,79.32,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
133,Namibe,AO,70.79,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
135,Port Shepstone,ZA,70.25,light rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
